title,city_ascii,state_name,ideology,year,city,state_id,lat,lon
Aryan Nations Knights of the KKK,Converse,Louisiana,Ku Klux Klan,2015,Converse,LA,31.7795,-93.7001
Aryan Nations Worldwide,Villa Rica,Georgia,Neo-Nazi,2015,Villa Rica,GA,33.7305,-84.917
Aryan Strikeforce,Pine Bluff,Arkansas,Racist Skinhead,2015,Pine Bluff,AR,34.2116,-92.0178
Aryan Strikeforce,Somerville,New Jersey,Racist Skinhead,2015,Somerville,NJ,40.5696,-74.6092
As-Sabiqun,Los Angeles,California,General Hate,2015,Los Angeles,CA,34.1139,-118.4068
As-Sabiqun,Oakland,California,General Hate,2015,Oakland,CA,37.7903,-122.2165
As-Sabiqun,Philadelphia,Pennsylvania,General Hate,2015,Philadelphia,PA,40.0076,-75.134
As-Sabiqun,Sacramento,California,General Hate,2015,Sacramento,CA,38.5667,-121.4683
As-Sabiqun,San Diego,California,General Hate,2015,San Diego,CA,32.8312,-117.1226
As-Sabiqun,Washington,District of Columbia,General Hate,2015,Washington,DC,38.9047,-77.0163
ATLAH World Missionary Church (All The Land Anointed Holy),New York,New York,Anti-LGBT,2015,New York,NY,40.6943,-73.9249
Atlas Shrugs,New York,New York,Anti-Muslim,2015,New York,NY,40.6943,-73.9249
Bare Naked Islam,Marina del Rey,California,Anti-Muslim,2015,Marina del Rey,CA,33.9765,-118.4486
"Barnes Review/Foundation for Economic Liberty, Inc.",Washington,District of Columbia,Holocaust Denial,2015,Washington,DC,38.9047,-77.0163
Black Hebrew Israelites,San Francisco,California,Black Nationalist,2015,San Francisco,CA,37.7562,-122.443
Black Riders Liberation Party,Chicago,Illinois,Black Nationalist,2015,Chicago,IL,41.8373,-87.6861
Black Riders Liberation Party,Detroit,Michigan,Black Nationalist,2015,Detroit,MI,42.3834,-83.1024
Black Riders Liberation Party,Los Angeles,California,Black Nationalist,2015,Los Angeles,CA,34.1139,-118.4068
Black Riders Liberation Party,Miami,Florida,Black Nationalist,2015,Miami,FL,25.784,-80.2102
Black Riders Liberation Party,Oakland,California,Black Nationalist,2015,Oakland,CA,37.7903,-122.2165
Black Riders Liberation Party,San Diego,California,Black Nationalist,2015,San Diego,CA,32.8312,-117.1226
Blood and Honour Social Club,Greensboro,North Carolina,Racist Skinhead,2015,Greensboro,NC,36.0956,-79.8269
Bob's Underground Graduate Seminar/BUGS,Columbia,South Carolina,White Nationalist,2015,Columbia,SC,34.037,-80.9042
Bosch Fawstin,New York,New York,Anti-Muslim,2015,New York,NY,40.6943,-73.9249
The Brother Nathanael Foundation,Frisco,Colorado,General Hate,2015,Frisco,CO,39.5793,-106.0919
Bureau on American Islamic Relations,Irving,Texas,Anti-Muslim,2015,Irving,TX,32.8584,-96.9702
Californians for Population Stabilization,Santa Barbara,California,Anti-Immigrant,2015,Santa Barbara,CA,34.4285,-119.7202
Camp LoneStar,Brownsville,Texas,Anti-Immigrant,2015,Brownsville,TX,25.998,-97.4565
Campaign for Radical Truth in History,Coeur d'Alene,Idaho,Holocaust Denial,2015,Coeur d'Alene,ID,47.7039,-116.7933
The Campus Ministry USA,Terre Haute,Indiana,Anti-LGBT,2015,Terre Haute,IN,39.4654,-87.3763
carolynyeager.net,Kerrville,Texas,Holocaust Denial,2015,Kerrville,TX,30.0399,-99.1319
Castle Hill Publishers,New York,New York,Holocaust Denial,2015,New York,NY,40.6943,-73.9249
Catholic Action Resource Center,Orlando,Florida,Radical Traditional Catholicism,2015,Orlando,FL,28.4788,-81.342
Catholic Counterpoint,Broomall,Pennsylvania,Radical Traditional Catholicism,2015,Broomall,PA,39.9694,-75.3529
"Catholic Family News/Catholic Family Ministries, Inc.",Niagara Falls,New York,Radical Traditional Catholicism,2015,Niagara Falls,NY,43.0921,-79.0147
Center for Family and Human Rights (C-FAM),New York,New York,Anti-LGBT,2015,New York,NY,40.6943,-73.9249
Center for Family and Human Rights (C-FAM),Washington,District of Columbia,Anti-LGBT,2015,Washington,DC,38.9047,-77.0163
Center for Security Policy,Washington,District of Columbia,Anti-Muslim,2015,Washington,DC,38.9047,-77.0163
Chalcedon Foundation,Vallecito,California,Anti-LGBT,2015,Vallecito,CA,38.074,-120.4563
Chick Publications,Ontario,California,General Hate,2015,Ontario,CA,34.0393,-117.6064
Christ the King Church,Larkspur,Colorado,Anti-LGBT,2015,Larkspur,CO,39.2318,-104.8926
Christian Action Network,Forest,Virginia,Anti-Muslim,2015,Forest,VA,37.3728,-79.2831
Christian Anti-Defamation Commission,Vista,California,General Hate,2015,Vista,CA,33.1895,-117.2387
Christian Defense League,Mandeville,Louisiana,Neo-Nazi,2015,Mandeville,LA,30.375,-90.0906
Christian Guardians,San Francisco,California,Anti-Muslim,2015,San Francisco,CA,37.7562,-122.443
Christian Identity Vanguard,Grovetown,Georgia,White Nationalist,2015,Grovetown,GA,33.4503,-82.2076
Christian Revival Center,Harrison,Arkansas,Christian Identity,2015,Harrison,AR,36.2437,-93.1197
Church of the Sons of YHVH,Converse,Louisiana,Christian Identity,2015,Converse,LA,31.7795,-93.7001
Citizen Warrior,Nashville,Tennessee,Anti-Muslim,2015,Nashville,TN,36.1714,-86.7844
Citizens for Community Values,Cincinnati,Ohio,Anti-LGBT,2015,Cincinnati,OH,39.1412,-84.5059
Citizens for National Security,Boca Raton,Florida,Anti-Muslim,2015,Boca Raton,FL,26.3749,-80.1077
Colorado Alliance for Immigration Reform,Lakewood,Colorado,Anti-Immigrant,2015,Lakewood,CO,39.6978,-105.1168
Concerned Citizens and Friends of Illegal Immigration Law Enforcement,Framingham,Massachusetts,General Hate,2015,Framingham,MA,42.3085,-71.4368
Confederate Hammerskins,Columbia,South Carolina,Racist Skinhead,2015,Columbia,SC,34.037,-80.9042
Confederate Hammerskins,Jacksonville,Florida,Racist Skinhead,2015,Jacksonville,FL,30.3322,-81.6749
Confederate Hammerskins,Nashville,Tennessee,Racist Skinhead,2015,Nashville,TN,36.1714,-86.7844
Confederate Hammerskins,Richmond,Virginia,Racist Skinhead,2015,Richmond,VA,37.5295,-77.4756
Confederate Patriot Voters United,Baldwyn,Mississippi,White Nationalist,2015,Baldwyn,MS,34.5071,-88.6416
Confederate White Knights of the Ku Klux Klan,Rosedale,Maryland,Ku Klux Klan,2015,Rosedale,MD,39.3266,-76.5084
"Conservative Citizens Foundation, Inc.",Saint Louis,Missouri,White Nationalist,2015,Saint Louis,MO,38.6358,-90.2451
Conservative Republicans of Texas,Houston,Texas,Anti-LGBT,2015,Houston,TX,29.7868,-95.3905
Council for Social and Economic Studies,Washington,District of Columbia,White Nationalist,2015,Washington,DC,38.9047,-77.0163
Council of Conservative Citizens,Eufaula,Alabama,White Nationalist,2015,Eufaula,AL,31.9102,-85.1505
Council of Conservative Citizens,Franklin,Tennessee,White Nationalist,2015,Franklin,TN,35.9214,-86.8524
Council of Conservative Citizens,Irving,Texas,White Nationalist,2015,Irving,TX,32.8584,-96.9702
Council of Conservative Citizens,Memphis,Tennessee,White Nationalist,2015,Memphis,TN,35.1047,-89.9773
Council of Conservative Citizens,New York,New York,White Nationalist,2015,New York,NY,40.6943,-73.9249
Council of Conservative Citizens,Silver Spring,Maryland,White Nationalist,2015,Silver Spring,MD,39.0028,-77.0207
Council of Conservative Citizens,Springboro,Ohio,White Nationalist,2015,Springboro,OH,39.5612,-84.2349
Council of Conservative Citizens,Summerville,South Carolina,White Nationalist,2015,Summerville,SC,33.0005,-80.1788
Counter Jihad Coalition,Santa Monica,California,Anti-Muslim,2015,Santa Monica,CA,34.0232,-118.4813
Counter-Currents Publishing,San Diego,California,White Nationalist,2015,San Diego,CA,32.8312,-117.1226
Covenant People's Ministry,Brooks,Georgia,Christian Identity,2015,Brooks,GA,33.2925,-84.4588
The Creativity Alliance,Middlebury,Vermont,Neo-Nazi,2015,Middlebury,VT,44.0079,-73.1575
The Creativity Movement,Bloomington,Illinois,Neo-Nazi,2015,Bloomington,IL,40.4757,-88.9705
Crew 38,Baltimore,Maryland,Racist Skinhead,2015,Baltimore,MD,39.3051,-76.6144
Crew 38,Birmingham,Alabama,Racist Skinhead,2015,Birmingham,AL,33.5276,-86.7988
Crew 38,Huntsville,Alabama,Racist Skinhead,2015,Huntsville,AL,34.6989,-86.6414
Crew 38,Portland,Tennessee,Racist Skinhead,2015,Portland,TN,36.5879,-86.5191
Crew 38,Wichita,Kansas,Racist Skinhead,2015,Wichita,KS,37.6897,-97.3442
Cultural Studies Press,New York,New York,General Hate,2015,New York,NY,40.6943,-73.9249
Culture Wars/Fidelity Press,South Bend,Indiana,Radical Traditional Catholicism,2015,South Bend,IN,41.6771,-86.2692
D. James Kennedy Ministries (formerly Truth in Action),Fort Lauderdale,Florida,Anti-LGBT,2015,Fort Lauderdale,FL,26.1412,-80.1464
The Daily Stormer,Worthington,Ohio,Neo-Nazi,2015,Worthington,OH,40.0949,-83.021
The Dakota Voice,Rapid City,South Dakota,General Hate,2015,Rapid City,SD,44.0716,-103.2205
David Horowitz Freedom Center,Los Angeles,California,Anti-Muslim,2015,Los Angeles,CA,34.1139,-118.4068
Divine International Church of the Web,Morton,Illinois,Christian Identity,2015,Morton,IL,40.6137,-89.4668
Dixie Republic,Travelers Rest,South Carolina,Neo-Confederate,2015,Travelers Rest,SC,34.9684,-82.4417
East Coast Knights of the True Invisible Empire,Scranton,Pennsylvania,Ku Klux Klan,2015,Scranton,PA,41.4044,-75.6649
East Coast Knights of the True Invisible Empire,Wilkes-Barre,Pennsylvania,Ku Klux Klan,2015,Wilkes-Barre,PA,41.2468,-75.8759
Eastern Hammerskins,Allentown,Pennsylvania,Racist Skinhead,2015,Allentown,PA,40.5961,-75.4756
The Eastern White Knights of the KKK,Parkersburg,West Virginia,Ku Klux Klan,2015,Parkersburg,WV,39.2623,-81.5419
Ecclesiastical Council for the Restoration of Covenant Israel (ECRCI),Chicago,Illinois,Christian Identity,2015,Chicago,IL,41.8373,-87.6861
European American Action Coalition,Pittston,Pennsylvania,White Nationalist,2015,Pittston,PA,41.3274,-75.7885
European American Front,Baldwyn,Mississippi,White Nationalist,2015,Baldwyn,MS,34.5071,-88.6416
European-American Evangelistic Crusades,Carmichael,California,General Hate,2015,Carmichael,CA,38.6336,-121.3229
Faith Baptist Church (formerly Sons of Thundr),Greenville,Georgia,Anti-LGBT,2015,Greenville,GA,33.0322,-84.7163
Faith Baptist Church and Ministry,Houston,Missouri,Christian Identity,2015,Houston,MO,37.3212,-91.9611
Faith Freedom,Bellevue,Washington,Anti-Muslim,2015,Bellevue,WA,47.5953,-122.1551
Faith2Action,North Royalton,Ohio,Anti-LGBT,2015,North Royalton,OH,41.3138,-81.7451
Faithful Word Baptist Church,Tempe,Arizona,Anti-LGBT,2015,Tempe,AZ,33.3881,-111.9318
Family Research Council,Washington,District of Columbia,Anti-LGBT,2015,Washington,DC,38.9047,-77.0163
Family Research Institute,Colorado Springs,Colorado,Anti-LGBT,2015,Colorado Springs,CO,38.8674,-104.7606
Family Watch International,Gilbert,Arizona,Anti-LGBT,2015,Gilbert,AZ,33.3103,-111.7463
Federation for American Immigration Reform,Washington,District of Columbia,Anti-Immigrant,2015,Washington,DC,38.9047,-77.0163
Fellowship of God's Covenant People,Union,Kentucky,Christian Identity,2015,Union,KY,38.9472,-84.6731
The Fitzgerald Griffin Foundation,Vienna,Virginia,White Nationalist,2015,Vienna,VA,38.8996,-77.2597
Florida Family Association,Tampa,Florida,Anti-Muslim,2015,Tampa,FL,27.9937,-82.4454
Florida United,Saint Cloud,Florida,Racist Skinhead,2015,Saint Cloud,FL,28.2303,-81.2849
Free American,Tucson,Arizona,White Nationalist,2015,Tucson,AZ,32.1546,-110.8782
Friendship Assembly of God Church,Colorado Springs,Colorado,Anti-LGBT,2015,Colorado Springs,CO,38.8674,-104.7606
Fundamentalist Latter Day Saints,Colorado City,Arizona,General Hate,2015,Colorado City,AZ,36.9774,-112.983
Fundamentalist Latter Day Saints,Hildale,Utah,General Hate,2015,Hildale,UT,37.0171,-112.9786
Gallows Tree Wotansvolk Alliance,Cedar Rapids,Iowa,Neo-Volkisch,2015,Cedar Rapids,IA,41.9667,-91.6782
Gallows Tree Wotansvolk Alliance,Grand Rapids,Michigan,Neo-Volkisch,2015,Grand Rapids,MI,42.9615,-85.6557
Gallows Tree Wotansvolk Alliance,Mauriceville,Texas,Neo-Volkisch,2015,Mauriceville,TX,30.2187,-93.8758
Gallows Tree Wotansvolk Alliance,Panama City Beach,Florida,Neo-Volkisch,2015,Panama City Beach,FL,30.2369,-85.8774
Gallows Tree Wotansvolk Alliance,Paso Robles,California,Neo-Volkisch,2015,Paso Robles,CA,35.6266,-120.691
Gallows Tree Wotansvolk Alliance,Tallahassee,Florida,Neo-Volkisch,2015,Tallahassee,FL,30.455,-84.2526
Gallows Tree Wotansvolk Alliance,Wichita,Kansas,Neo-Volkisch,2015,Wichita,KS,37.6897,-97.3442
Geauga Constitutional Council,Mayfield Heights,Ohio,General Hate,2015,Mayfield Heights,OH,41.5175,-81.4534
Generations With Vision,Elizabeth,Colorado,Anti-LGBT,2015,Elizabeth,CO,39.3611,-104.6061
H.L. Mencken Club,Elizabethtown,Pennsylvania,White Nationalist,2015,Elizabethtown,PA,40.1534,-76.5991
The Hated,Toms River,New Jersey,Racist Skinhead,2015,Toms River,NJ,39.9931,-74.1856
Heritage and Destiny,Silver Spring,Maryland,White Nationalist,2015,Silver Spring,MD,39.0028,-77.0207
Heritage Connection,Harrison,Arkansas,Hate Music,2015,Harrison,AR,36.2437,-93.1197
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Downers Grove,Illinois,Anti-LGBT,2015,Downers Grove,IL,41.7949,-88.017
Holy Nation of Odin,Kingsburg,California,General Hate,2015,Kingsburg,CA,36.5242,-119.5608
IHS Press,Norfolk,Virginia,Radical Traditional Catholicism,2015,Norfolk,VA,36.8945,-76.259
Illinois Family Institute,Carol Stream,Illinois,Anti-LGBT,2015,Carol Stream,IL,41.9183,-88.1309
Imperial Klans of America Knights of the KKK,Dawson Springs,Kentucky,Ku Klux Klan,2015,Dawson Springs,KY,37.174,-87.688
In the Spirit of Chartres Committee,Carrollton,Virginia,Radical Traditional Catholicism,2015,Carrollton,VA,36.9394,-76.5265
Inconvenient History,San Diego,California,Holocaust Denial,2015,San Diego,CA,32.8312,-117.1226
Insight USA,Longwood,Florida,General Hate,2015,Longwood,FL,28.7018,-81.3488
Institute for Historical Review,Fountain Valley,California,Holocaust Denial,2015,Fountain Valley,CA,33.7105,-117.9514
Institute for Historical Review Store,Newport Beach,California,Holocaust Denial,2015,Newport Beach,CA,33.6151,-117.8669
The International Conspiratological Association,Coeur d'Alene,Idaho,Holocaust Denial,2015,Coeur d'Alene,ID,47.7039,-116.7933
International Keystone Knights of the KKK,Monticello,Arkansas,Ku Klux Klan,2015,Monticello,AR,33.6258,-91.7934
International Keystone Knights of the KKK,Nashville,Tennessee,Ku Klux Klan,2015,Nashville,TN,36.1714,-86.7844
International Keystone Knights of the KKK,Taylors,South Carolina,Ku Klux Klan,2015,Taylors,SC,34.9157,-82.3124
International Keystone Knights of the KKK,Vanndale,Arkansas,Ku Klux Klan,2015,Vanndale,AR,35.3134,-90.774
Invictus Books,Wentzville,Missouri,General Hate,2015,Wentzville,MO,38.8164,-90.867
Irving Books,Key West,Florida,Holocaust Denial,2015,Key West,FL,24.5636,-81.7769
ISD Records,Lancaster,Ohio,Hate Music,2015,Lancaster,OH,39.7249,-82.6049
Islam: Making a True Difference in the World -- One Body at a Time,Marietta,Georgia,Anti-Muslim,2015,Marietta,GA,33.9532,-84.5421
islam: the Religion of Peace (and a big stack of dead bodies),Marietta,Georgia,Anti-Muslim,2015,Marietta,GA,33.9532,-84.5421
Israel United In Christ,Atlanta,Georgia,Black Nationalist,2015,Atlanta,GA,33.7626,-84.4228
Israel United In Christ,Austin,Texas,Black Nationalist,2015,Austin,TX,30.3006,-97.7517
Israel United In Christ,Birmingham,Alabama,Black Nationalist,2015,Birmingham,AL,33.5276,-86.7988
Israel United In Christ,Boston,Massachusetts,Black Nationalist,2015,Boston,MA,42.3188,-71.0846
Israel United In Christ,Bronx,New York,Black Nationalist,2015,Bronx,NY,40.8501,-73.8662
Israel United in Christ,Charlotte,North Carolina,Black Nationalist,2015,Charlotte,NC,35.2079,-80.8303
Israel United In Christ,Chicago,Illinois,Black Nationalist,2015,Chicago,IL,41.8373,-87.6861
Israel United In Christ,Corpus Christi,Texas,Black Nationalist,2015,Corpus Christi,TX,27.7173,-97.3822
Israel United In Christ,Dallas,Texas,Black Nationalist,2015,Dallas,TX,32.7937,-96.7662
Israel United In Christ,Denver,Colorado,Black Nationalist,2015,Denver,CO,39.7621,-104.8759
Israel United In Christ,Detroit,Michigan,Black Nationalist,2015,Detroit,MI,42.3834,-83.1024
Israel United In Christ,Houston,Texas,Black Nationalist,2015,Houston,TX,29.7868,-95.3905
Israel United In Christ,Kansas City,Kansas,Black Nationalist,2015,Kansas City,KS,39.1234,-94.7443
Israel United In Christ,Las Vegas,Nevada,Black Nationalist,2015,Las Vegas,NV,36.2291,-115.2607
Israel United In Christ,Louisville,Kentucky,Black Nationalist,2015,Louisville,KY,38.1662,-85.6488
Israel United In Christ,Memphis,Tennessee,Black Nationalist,2015,Memphis,TN,35.1047,-89.9773
Israel United In Christ,Miami,Florida,Black Nationalist,2015,Miami,FL,25.784,-80.2102
Israel United In Christ,New Orleans,Louisiana,Black Nationalist,2015,New Orleans,LA,30.0687,-89.9288
Israel United In Christ,Newburgh,New York,Black Nationalist,2015,Newburgh,NY,41.5037,-74.0205
Israel United in Christ,Oklahoma City,Oklahoma,Black Nationalist,2015,Oklahoma City,OK,35.4676,-97.5136
Israel United In Christ,Orlando,Florida,Black Nationalist,2015,Orlando,FL,28.4788,-81.342
Israel United In Christ,Phoenix,Arizona,Black Nationalist,2015,Phoenix,AZ,33.5722,-112.0891
Israel United In Christ,Pittsburgh,Pennsylvania,Black Nationalist,2015,Pittsburgh,PA,40.4396,-79.9763
Israel United In Christ,Richmond,Virginia,Black Nationalist,2015,Richmond,VA,37.5295,-77.4756
Israel United In Christ,Saint Louis,Missouri,Black Nationalist,2015,Saint Louis,MO,38.6358,-90.2451
Israel United In Christ,San Antonio,Texas,Black Nationalist,2015,San Antonio,TX,29.4722,-98.5247
Israel United In Christ,Savannah,Georgia,Black Nationalist,2015,Savannah,GA,32.0282,-81.1786
Israel United In Christ,Tallahassee,Florida,Black Nationalist,2015,Tallahassee,FL,30.455,-84.2526
Israel United In Christ,Washington,District of Columbia,Black Nationalist,2015,Washington,DC,38.9047,-77.0163
Israelite Church of God in Jesus Christ,Philadelphia,Pennsylvania,Black Nationalist,2015,Philadelphia,PA,40.0076,-75.134
The Israelite Church of God in Jesus Christ,Allentown,Pennsylvania,Black Nationalist,2015,Allentown,PA,40.5961,-75.4756
The Israelite Church of God in Jesus Christ,Baltimore,Maryland,Black Nationalist,2015,Baltimore,MD,39.3051,-76.6144
The Israelite Church of God in Jesus Christ,Camden,New Jersey,Black Nationalist,2015,Camden,NJ,39.9361,-75.1073
The Israelite Church of God in Jesus Christ,Fayetteville,North Carolina,Black Nationalist,2015,Fayetteville,NC,35.0846,-78.9776
The Israelite Church of God in Jesus Christ,Fort Myers,Florida,Black Nationalist,2015,Fort Myers,FL,26.6195,-81.8302
The Israelite Church of God in Jesus Christ,Kansas City,Missouri,Black Nationalist,2015,Kansas City,MO,39.1239,-94.5541
The Israelite Church of God in Jesus Christ,Miami,Florida,Black Nationalist,2015,Miami,FL,25.784,-80.2102
The Israelite Church of God in Jesus Christ,Minneapolis,Minnesota,Black Nationalist,2015,Minneapolis,MN,44.9635,-93.2678
The Israelite Church of God in Jesus Christ,New York,New York,Black Nationalist,2015,New York,NY,40.6943,-73.9249
The Israelite Church of God in Jesus Christ,Oklahoma City,Oklahoma,Black Nationalist,2015,Oklahoma City,OK,35.4676,-97.5136
The Israelite Church of God in Jesus Christ,Omaha,Nebraska,Black Nationalist,2015,Omaha,NE,41.2628,-96.0495
The Israelite Church of God in Jesus Christ,Orlando,Florida,Black Nationalist,2015,Orlando,FL,28.4788,-81.342
The Israelite Church of God in Jesus Christ,Pittsburgh,Pennsylvania,Black Nationalist,2015,Pittsburgh,PA,40.4396,-79.9763
The Israelite Church of God in Jesus Christ,Portland,Oregon,Black Nationalist,2015,Portland,OR,45.5372,-122.65
The Israelite Church of God in Jesus Christ,Washington,District of Columbia,Black Nationalist,2015,Washington,DC,38.9047,-77.0163
The Israelite Church of God in Jesus Christ,West Palm Beach,Florida,Black Nationalist,2015,West Palm Beach,FL,26.7467,-80.1314
The Israelite Church of God in Jesus Christ,Wilmington,North Carolina,Black Nationalist,2015,Wilmington,NC,34.21,-77.886
Israelite School of Universal and Practical Knowledge,Atlanta,Georgia,Black Nationalist,2015,Atlanta,GA,33.7626,-84.4228
Israelite School of Universal and Practical Knowledge,Chicago,Illinois,Black Nationalist,2015,Chicago,IL,41.8373,-87.6861
Israelite School of Universal and Practical Knowledge,Indianapolis,Indiana,Black Nationalist,2015,Indianapolis,IN,39.7771,-86.1458
Israelite School of Universal and Practical Knowledge,New York,New York,Black Nationalist,2015,New York,NY,40.6943,-73.9249
Israelite School of Universal and Practical Knowledge,Oregon City,Oregon,Black Nationalist,2015,Oregon City,OR,45.3418,-122.5938
Israelite School of Universal and Practical Knowledge,Philadelphia,Pennsylvania,Black Nationalist,2015,Philadelphia,PA,40.0076,-75.134
Israelite School of Universal and Practical Knowledge,San Diego,California,Black Nationalist,2015,San Diego,CA,32.8312,-117.1226
Israelite School of Universal and Practical Knowledge,Syracuse,New York,Black Nationalist,2015,Syracuse,NY,43.0409,-76.1438
Israelite School of Universal and Practical Knowledge,Washington,District of Columbia,Black Nationalist,2015,Washington,DC,38.9047,-77.0163
Israelite School of Universal Practical Knowledge,Baltimore,Maryland,Black Nationalist,2015,Baltimore,MD,39.3051,-76.6144
Jamaat al-Muslimeen,Baltimore,Maryland,General Hate,2015,Baltimore,MD,39.3051,-76.6144
Jewish Political Action Committee,New York,New York,Anti-LGBT,2015,New York,NY,40.6943,-73.9249
